epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4229,1.89384,2.55272,1.35695,0.74442,0.79116,0.75987,0.34273,2.04842,1.33246,1.28547,0.000415052,0.000415052,0.000415052
2,61.0849,1.63226,1.39221,1.20722,0.74546,0.74454,0.68052,0.30735,2.29071,1.12504,1.41741,0.000823484,0.000823484,0.000823484
3,89.3021,1.59579,1.17183,1.19558,0.78128,0.77674,0.74017,0.342,2.06065,1.18673,1.2747,0.00122367,0.00122367,0.00122367
4,116.566,1.55097,1.00984,1.17315,0.68707,0.66621,0.60817,0.27345,2.41364,1.08603,1.50194,0.00121287,0.00121287,0.00121287
5,144.241,1.5466,0.94755,1.16973,0.77805,0.78542,0.73095,0.29854,2.28098,1.10163,1.37374,0.0012005,0.0012005,0.0012005
6,171.833,1.50905,0.86892,1.15644,0.74513,0.73256,0.66599,0.31243,2.3426,1.09626,1.44443,0.00118812,0.00118812,0.00118812
7,199.046,1.48646,0.84943,1.14621,0.83847,0.84156,0.79554,0.35069,2.17359,0.92527,1.3411,0.00117575,0.00117575,0.00117575
8,226.068,1.49623,0.82896,1.14648,0.78328,0.77067,0.71937,0.28996,2.44173,1.03745,1.49555,0.00116337,0.00116337,0.00116337
9,253.294,1.48625,0.80295,1.13985,0.73217,0.72434,0.65615,0.28716,2.53334,0.9922,1.61294,0.001151,0.001151,0.001151
10,280.28,1.46448,0.78912,1.1267,0.84299,0.8426,0.8027,0.36841,2.15754,0.93142,1.32017,0.00113863,0.00113863,0.00113863
11,307.577,1.46271,0.76089,1.1264,0.785,0.77939,0.70649,0.30532,2.38623,1.01142,1.47381,0.00112625,0.00112625,0.00112625
12,334.713,1.43968,0.74786,1.11498,0.73724,0.75173,0.67908,0.29755,2.4839,0.99515,1.56241,0.00111388,0.00111388,0.00111388
13,362.918,1.42508,0.72811,1.11684,0.77927,0.74592,0.68132,0.28662,2.43855,1.00961,1.50235,0.0011015,0.0011015,0.0011015
